Address 1    Address 2    No. of Matches     Rules matched      Search Time (micro sec)
   21.28      229.167          0                   []                        66
  131.51       179.42          1                [440]                        98
   208.5      235.160          0                   []                        56
 207.192      182.236          1                [551]                        77
  96.247       82.232          1                [719]                       122
  146.73      220.233          0                   []                        46
  150.86      174.189          1                [442]                        62
  55.216        200.9          1                [379]                        67
  144.11       78.211          1                [545]                        56
   188.9       208.30          1                [980]                        61
   87.47      190.213          1                [401]                        84
  125.24       41.231          0                   []                        50
  191.46       96.196          1                [973]                        72
  63.162      197.204          1                [161]                        80
 229.251      155.171          1                [612]                        62
  212.91      254.252          1                [963]                        60
    8.30      141.178          1                [485]                        65
 255.125       146.96          0                   []                        53
 116.105      255.229          0                   []                        55
  146.62      244.251          1                [515]                        73
 127.203       228.54          1                [803]                        62
  179.35       167.14          1                [708]                        86
 136.194        27.84          1                [699]                        93
 115.123      117.164          1                [106]                        59
 188.173      242.226          1                [316]                        58
 136.193        27.87          1                [699]                        59
   63.89        11.29          1                [650]                        73
    39.7      128.170          1                [388]                        82
 124.231       212.76          1                [365]                        61
   9.194       41.110          1                [343]                        76
 186.169       29.140          0                   []                        46
  49.153       68.236          1                 [53]                        78
   11.48       90.228          0                   []                        47
 198.168      225.158          0                   []                        49
  142.10       91.166          0                   []                        69
  85.254       77.135          0                   []                        59
 120.126       198.78          1                 [85]                        58
 139.157      208.142          1                 [98]                        56
  73.116         3.31          1                [338]                        54
 118.232       67.127          0                   []                        39
  46.152      9.10842          1                [304]                        52
   67.55       83.114          1                 [30]                       437
  206.90      170.101          1                 [48]                        85
  102.89        87.62          1                 [49]                        61
    9.94        1.122          1                [760]                        85
  72.218        34.46          1                [729]                        92
 158.143      127.135          0                   []                        81
   37.64       223.63          1                [629]                        44
 205.112      134.176          1                [772]                        47
   208.3      235.163          0                   []                        78
  64.123       44.234          1                [656]                        95
  69.141       46.128          1                [352]                        88
  72.230       102.83          0                   []                        77
   42.95      151.249          1                 [29]                        80
   67.55       83.114          1                 [30]                        80
  206.90      170.101          1                 [48]                        89
  102.89      87.6272          0                   []                        61
 119.145       190.42          1                [988]                        59
 244.196        8.182          1                [662]                        64
 221.112       186.89          0                   []                        72
 100.230       159.71          0                   []                        50
 238.117      215.212          0                   []                        51
  63.183      238.164          1                [389]                        61
   32.41      237.214          0                   []                       191
  18.117       168.91          1                 [68]                        72
 149.103       26.200          0                   []                        82
  20.177       82.107          0                   []                        54
 138.124       230.45          1                [390]                        71
  184.50      223.116          1                [835]                        62
   63.12       238.72          1                 [14]                        65
  147.44       34.219          1                 [80]                        68
  55.215       200.12          1                [379]                        64
  171.72        73.32          0                   []                        71
 255.134      158.206          1                [712]                        82
   11.46       90.229          1                [617]                        74
  141.82       216.99          1                [205]                        70
   96.23      221.227          1                [901]                        61
  152.23      130.252          1                [909]                        75
  76.108        45.98          1                [636]                        62
 116.128       93.126          1                [285]                        64
  25.231       71.158          1                [159]                        60
  92.205         6.71          0                   []                        65
   10.92       194.29          1                [857]                        59
  152.23      130.252          1                [909]                        71
  212.90      254.252          1                [963]                        61
   96.85      196.117          1                [277]                        58
 208.250        9.251          1                [430]                        73
  20.204        106.0          0                   []                        52
  17.204       37.139          1                 [26]                        72
  10.106       29.199          1                 [28]                        61
   42.95      151.249          1                 [29]                        64
   67.55       83.114          1                 [30]                        73
  78.152       91.249          1                  [1]                        73
  92.234        10.65          1                  [2]                        60
  66.165      116.127          1                  [5]                        56
   25.79      125.155          1                  [6]                        78
  17.204       37.139          1                 [26]                        66
  10.106       29.199          1                 [28]                        66
   42.95      151.249          1                 [29]                        61
   67.55       83.114          1                 [30]                       118

 Average Search time is: 73 (micro sec)
